step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
500.0,91,14132.0,148.7578947368421,0.27289472932423503,91,14909.0,0.019853751603490507,91,14909.0,False,,
505.0,99,14594.0,144.4950495049505,0.004662034454144966,99,15371.0,0.00034717142584352967,99,15371.0,False,,
510.0,95,15069.0,143.5142857142857,0.5769061859925783,95,15846.0,0.040914534811607624,95,15846.0,False,,
515.0,101,15561.0,148.2,0.489642877383806,101,16338.0,0.03549909749020594,101,16338.0,False,,
520.0,103,16066.0,147.39449541284404,0.5861128569721407,103,16843.0,0.02536650377445643,103,16843.0,False,,
525.0,103,16575.0,149.32432432432432,0.5594983865163257,103,17352.0,0.0059146139852638245,103,17352.0,False,,
530.0,107,17103.0,152.70535714285714,0.36610871354509383,107,17880.0,0.0014639104211582772,107,17880.0,False,,
535.0,109,17648.0,160.43636363636364,0.10769549762786854,109,18425.0,7.597790235520619e-08,109,18425.0,False,,
540.0,109,18193.0,166.90825688073394,0.0,109,18970.0,0.0,109,18970.0,False,,
545.0,109,18738.0,162.9391304347826,0.21153694444701746,109,19515.0,0.016578109670532498,109,19515.0,False,,
550.0,111,19292.0,167.75652173913045,0.4196961639294689,111,20069.0,0.03231195178032649,111,20069.0,False,,
555.0,111,19847.0,172.58260869565217,0.4215959441553336,111,20624.0,0.024392152540425406,111,20624.0,False,,
560.0,107,18427.0,157.4957264957265,0.3330697988910674,107,20410.0,0.00899029133667024,107,20410.0,False,,
565.0,100,15690.0,134.10256410256412,1.005971748166186,100,19080.0,0.019558428115564887,100,19080.0,False,,
570.0,87,12828.0,110.58620689655173,1.4163174979560276,87,18931.0,0.041182320424212555,87,18931.0,False,,
575.0,73,8904.0,79.5,1.828413319452625,73,18595.0,0.05130354825524211,73,18595.0,False,,
580.0,64,7128.0,63.07964601769911,1.9636922020977212,64,18186.0,0.07557204605093097,64,18186.0,False,,
585.0,57,6802.0,60.732142857142854,2.423447983900929,57,17017.0,0.10524814547658157,57,17017.0,False,,
590.0,53,6672.0,60.108108108108105,2.2635371074467074,53,16872.0,0.10439958549781034,53,16872.0,False,,
595.0,66,6963.0,61.61946902654867,1.6718781985739877,66,17140.0,0.053525287036039135,66,17140.0,False,,
600.0,70,7263.0,64.84821428571429,1.4335861699575385,70,16755.0,0.04108507201127055,70,16755.0,False,,
605.0,77,7584.0,66.52631578947368,1.4080768677059357,77,15703.0,0.037781572353295406,77,15703.0,False,,
610.0,76,7785.0,69.50892857142857,1.3628694099283465,76,15457.0,0.039643908058798666,76,15457.0,False,,
615.0,67,7883.0,69.76106194690266,1.8544657466356553,67,15274.0,0.06083624997273056,67,15274.0,False,,
620.0,62,7997.0,71.40178571428571,2.2322019016481596,62,14778.0,0.09401921823000314,62,14778.0,False,,
625.0,57,8046.0,73.14545454545454,2.300245216321523,57,13709.0,0.10450713196708467,57,13709.0,False,,
630.0,58,8220.0,75.41284403669725,2.318246419264609,58,11993.0,0.07796684584368314,58,11993.0,False,,
635.0,66,8517.0,76.72972972972973,2.4296303230207292,66,10992.0,0.07975958906922043,66,10992.0,False,,
640.0,70,8845.0,81.89814814814815,2.534257689459394,70,11295.0,0.08601695996633339,70,11295.0,False,,
645.0,75,9065.0,84.7196261682243,2.0007075709311932,75,11361.0,0.08576358776528141,75,11361.0,False,,
650.0,72,9227.0,86.23364485981308,1.9746067536217642,72,11171.0,0.0795677357878493,72,11171.0,False,,
655.0,68,9384.0,85.30909090909091,1.9302639800598078,68,11490.0,0.087059658014525,68,11490.0,False,,
660.0,60,9502.0,87.98148148148148,2.178519445668309,60,11764.0,0.10994780518983674,60,11764.0,False,,
665.0,60,9698.0,88.16363636363636,2.50193296417217,60,12017.0,0.08811175105900311,60,12017.0,False,,
670.0,70,10023.0,88.69911504424779,2.542023671415699,70,12324.0,0.08857415335432493,70,12324.0,False,,
675.0,75,10383.0,94.39090909090909,2.449111326639774,75,12672.0,0.09440782080054397,75,12672.0,False,,
680.0,82,10778.0,96.23214285714286,2.4844372149224356,82,13063.0,0.09032710385942651,82,13063.0,False,,
685.0,87,11197.0,99.08849557522124,2.4730849014701644,87,13482.0,0.08507544405142481,87,13482.0,False,,
690.0,84,11617.0,102.80530973451327,2.562637195578402,84,13902.0,0.09306702908359334,84,13902.0,False,,
695.0,85,12037.0,108.44144144144144,2.643252751723256,85,14322.0,0.10172234080091,85,14322.0,False,,
700.0,87,12460.0,114.31192660550458,2.235846337052477,87,14745.0,0.06947210423269921,87,14745.0,False,,
705.0,88,12898.0,121.67924528301887,1.8470040677933712,88,15183.0,0.06638602808470763,88,15183.0,False,,
710.0,89,13338.0,124.65420560747664,1.9564483808686284,89,15623.0,0.06985422383555885,89,15623.0,False,,
715.0,89,13778.0,129.9811320754717,1.8472592992822616,89,16063.0,0.06117234344563773,89,16063.0,False,,
720.0,82,13823.0,130.4056603773585,1.857445007440524,82,16102.0,0.07009590727530192,82,16102.0,False,,
725.0,77,13602.0,123.65454545454546,2.2467239656732283,77,15753.0,0.09756274267017626,77,15753.0,False,,
730.0,70,13461.0,122.37272727272727,2.4207661761298285,70,15922.0,0.11516741721240485,70,15922.0,False,,
735.0,65,13264.0,121.68807339449542,2.264862576716857,65,16238.0,0.09910388748233329,65,16238.0,False,,
740.0,64,12719.0,115.62727272727273,2.087132678010926,64,16339.0,0.09364747134448637,64,16339.0,False,,
745.0,69,12699.0,112.38053097345133,1.9960258386336445,69,16295.0,0.08278244418670183,69,16295.0,False,,
750.0,77,13052.0,114.49122807017544,2.0936134413012786,77,16344.0,0.05919609315097523,77,16344.0,False,,
755.0,88,13398.0,115.5,1.402118988385756,88,16736.0,0.03170585539616233,88,16736.0,False,,
760.0,91,13740.0,117.43589743589743,1.5416159055763718,91,17103.0,0.04188770014703778,91,17103.0,False,,
765.0,80,13911.0,117.88983050847457,1.967959894546094,80,17103.0,0.08072353050107373,80,17103.0,False,,
770.0,72,13971.0,119.41025641025641,2.0511856885842006,72,16684.0,0.0826489580927499,72,16684.0,False,,
775.0,68,14030.0,123.0701754385965,1.730285376443017,68,16819.0,0.06709471446808435,68,16819.0,False,,
