step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
485.0,51,2117.0,27.493506493506494,2.119326200097582,19,1857.0,4.2967388820126745e-07,10,1735.0,0.17492045558280436,9,1694.0,0.17331102151131636,13,1877.0,0.061198859205047494,51,7163.0
490.0,49,1572.0,20.415584415584416,2.378794531686177,19,1952.0,0.0,6,1540.0,0.23946677927064286,8,1736.0,0.1718035840028466,16,1952.0,0.000680438586397613,49,7180.0
495.0,49,1216.0,16.213333333333335,2.060732045187896,19,2047.0,0.0,5,1565.0,0.29395534137619017,8,1770.0,0.13200187665717136,17,2037.0,7.632225936328822e-06,49,7419.0
500.0,51,1315.0,17.30263157894737,1.8701464014466413,19,2142.0,0.0,7,1593.0,0.2527070643887094,11,1818.0,0.03207726557587277,14,1922.0,0.12018432101555734,51,7475.0
505.0,52,1420.0,18.933333333333334,1.9392405182236487,19,2237.0,0.0,10,1637.0,0.17237691036310876,14,1880.0,0.009563454148851132,9,1600.0,0.22743721307528653,52,7354.0
510.0,51,1340.0,17.866666666666667,2.0156475001607816,16,2063.0,0.011853971717268154,13,1696.0,0.0016555989956328278,17,1960.0,0.0016921894316844204,5,1443.0,0.30248068274074447,51,7162.0
515.0,46,1096.0,14.613333333333333,2.4239008656824774,11,1723.0,0.0592544764984535,14,1768.0,0.0958770562343451,16,1857.0,0.02669352590915466,5,1469.0,0.24928615048951186,46,6817.0
520.0,42,903.0,12.36986301369863,2.1327881355443483,8,1769.0,0.0687166143281994,16,1843.0,0.10293270822862802,11,1584.0,0.03911118533997611,7,1499.0,0.185189920188742,42,6695.0
525.0,41,691.0,9.597222222222221,1.7544161113557588,7,1805.0,0.08622439068766649,17,1927.0,0.14695173568961645,7,1625.0,0.07863990250218689,10,1542.0,0.06524204759542239,41,6899.0
530.0,44,705.0,9.791666666666666,1.383255085516108,7,1835.0,0.07392449380796973,17,2012.0,0.11018213808421948,6,1657.0,0.072603164371994,14,1608.0,0.05930280497138992,44,7112.0
535.0,52,899.0,12.48611111111111,1.1380597294363068,11,1880.0,0.04690605304416123,18,2100.0,0.1322500911824061,7,1686.0,0.07250330124990195,16,1679.0,0.05453839957537711,52,7345.0
540.0,55,1110.0,14.8,1.1633772997761802,11,1720.0,0.08101085563622062,17,2182.0,0.06892435911506874,11,1732.0,0.0397799590141836,16,1759.0,1.2853055006480347e-06,55,7393.0
