step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
780.0,8,31.0,0.8611111111111112,3.4368807844916027,8,137.0,0.18280737196764696,8,137.0,False,,
785.0,6,15.0,0.40540540540540543,4.279099910445336,6,106.0,0.20401517262126023,6,106.0,False,,
790.0,6,8.0,0.1951219512195122,5.272905032193281,6,104.0,0.21593469715291852,6,104.0,False,,
795.0,10,31.0,0.7948717948717948,4.264875162978352,10,142.0,0.1968443925121591,10,142.0,False,,
800.0,7,21.0,0.5833333333333334,3.274724224838219,7,144.0,0.21733344582216554,7,144.0,False,,
805.0,7,17.0,0.425,4.353257769057914,7,122.0,0.22690657531508032,7,122.0,False,,
810.0,3,4.0,0.09523809523809523,4.707546114684726,3,104.0,0.18670706588839897,3,104.0,False,,
815.0,6,26.0,0.6190476190476191,4.789469072530757,6,125.0,0.1717391867750977,6,125.0,False,,
820.0,7,20.0,0.5263157894736842,4.395165486548869,7,129.0,0.17821356219275666,7,129.0,False,,
825.0,5,9.0,0.24324324324324326,3.981988891089529,5,101.0,0.1702448705031353,5,101.0,False,,
830.0,3,9.0,0.23684210526315788,3.3337610245467544,3,119.0,0.10758247743404407,3,119.0,False,,
835.0,9,42.0,1.135135135135135,2.6768820509043096,9,153.0,0.08046260008016841,9,153.0,False,,
840.0,10,40.0,1.1428571428571428,2.8041386966996713,10,163.0,0.1326050099532898,10,163.0,False,,
845.0,4,11.0,0.2972972972972973,4.421626490110229,4,115.0,0.2075200900922642,4,115.0,False,,
850.0,5,9.0,0.225,4.186567765594542,5,139.0,0.1613851750791987,5,139.0,False,,
855.0,11,34.0,0.8947368421052632,3.1802764710567297,11,179.0,0.09727919928174969,11,179.0,False,,
860.0,8,30.0,0.8571428571428571,3.121958495488691,8,183.0,0.1499631698368304,8,183.0,False,,
865.0,6,15.0,0.39473684210526316,4.627665555871363,6,139.0,0.21336793085626402,6,139.0,False,,
870.0,3,6.0,0.15384615384615385,4.970488333295683,3,130.0,0.19791306479874224,3,130.0,False,,
875.0,7,23.0,0.6052631578947368,3.9103021331011774,7,156.0,0.16509371608958792,7,156.0,False,,
880.0,13,75.0,2.2058823529411766,2.9129817189969165,13,208.0,0.1590930442436785,13,208.0,False,,
885.0,14,81.0,2.1315789473684212,2.166044391317969,14,235.0,0.11842543289449371,14,235.0,False,,
890.0,13,58.0,1.4871794871794872,3.3171559116214815,13,204.0,0.11143097996167331,13,204.0,False,,
895.0,12,45.0,1.0465116279069768,4.200510052547004,12,250.0,0.17113162642355065,12,250.0,False,,
900.0,13,49.0,1.225,3.9502034719721903,13,312.0,0.13973976791143228,13,312.0,False,,
905.0,8,30.0,0.7894736842105263,4.010468681406564,8,311.0,0.19937383634460087,8,311.0,False,,
910.0,5,10.0,0.2564102564102564,4.382753919087656,5,232.0,0.21555776165863663,5,232.0,False,,
915.0,3,6.0,0.14285714285714285,4.525268956221494,3,247.0,0.19425224267109592,3,247.0,False,,
920.0,8,28.0,0.6666666666666666,4.24839802648332,8,280.0,0.15391667925889135,8,280.0,False,,
925.0,7,26.0,0.65,4.144178774698794,7,271.0,0.19963555747885975,7,271.0,False,,
930.0,5,11.0,0.25,5.043283331286021,5,195.0,0.2695456249762988,5,195.0,False,,
935.0,6,12.0,0.2727272727272727,4.640616344726724,6,212.0,0.23540059545354508,6,212.0,False,,
940.0,9,46.0,1.069767441860465,4.3309214520330634,9,249.0,0.1700074260088112,9,249.0,False,,
945.0,11,40.0,1.0,3.6706632463799713,11,246.0,0.14273446488241467,11,246.0,False,,
950.0,7,30.0,0.75,4.228415456273692,7,176.0,0.15021245921746312,7,176.0,False,,
955.0,4,11.0,0.2619047619047619,4.314457515420211,4,188.0,0.16965275376334563,4,188.0,False,,
960.0,11,36.0,0.8571428571428571,4.303346363416984,11,228.0,0.21673278299649387,11,228.0,False,,
965.0,9,34.0,0.8095238095238095,4.1545930469623285,9,227.0,0.22721110029347036,9,227.0,False,,
970.0,8,24.0,0.5581395348837209,3.885316524689312,8,181.0,0.17440292238748142,8,181.0,False,,
975.0,7,15.0,0.3409090909090909,3.788237593973257,7,190.0,0.13429426850746587,7,190.0,False,,
980.0,11,44.0,1.0232558139534884,4.227977299572117,11,227.0,0.15915722985769576,11,227.0,False,,
985.0,10,33.0,0.825,3.9476924405466334,10,229.0,0.1519473372806192,10,229.0,False,,
990.0,7,22.0,0.55,4.497501209111211,7,176.0,0.1782510983129249,7,176.0,False,,
995.0,4,6.0,0.15,4.52024869520948,4,167.0,0.16841855242371329,4,167.0,False,,
1000.0,8,25.0,0.625,4.390307711094878,8,199.0,0.17299560300238273,8,199.0,False,,
1005.0,7,20.0,0.5405405405405406,4.230112374278159,7,196.0,0.21788034490297936,7,196.0,False,,
1010.0,3,5.0,0.13513513513513514,4.570101258932124,3,152.0,0.21779300006953503,3,152.0,False,,
1015.0,2,3.0,0.07692307692307693,4.5727582681629935,2,136.0,0.1589708240869371,2,136.0,False,,
1020.0,8,20.0,0.5263157894736842,3.9133574793359536,8,155.0,0.14077625923159606,8,155.0,False,,
1025.0,6,13.0,0.37142857142857144,3.8999892025572227,6,147.0,0.1960423336895846,6,147.0,False,,
1030.0,1,1.0,0.02702702702702703,4.908255824526381,1,82.0,0.22626867674252787,1,82.0,False,,
1035.0,1,2.0,0.04878048780487805,5.223986232145254,1,75.0,0.23010664378550652,1,75.0,False,,
1040.0,8,24.0,0.6153846153846154,4.139860637927727,8,97.0,0.17078018664134553,8,97.0,False,,
1045.0,7,21.0,0.5833333333333334,3.9098258130060106,7,100.0,0.22099822662372223,7,100.0,False,,
1050.0,6,10.0,0.2564102564102564,4.629433326181033,6,69.0,0.2322547799464031,6,69.0,False,,
1055.0,4,7.0,0.16666666666666666,4.740893589305209,4,68.0,0.19949462878692903,4,68.0,False,,
1060.0,8,32.0,0.7619047619047619,4.493802143684889,8,100.0,0.18009308923937684,8,100.0,False,,
1065.0,9,29.0,0.725,4.097809737689277,9,114.0,0.19702861967732416,9,114.0,False,,
1070.0,7,16.0,0.3902439024390244,4.159724842447081,7,103.0,0.19279605092818794,7,103.0,False,,
1075.0,5,14.0,0.32558139534883723,4.035847911195195,5,131.0,0.19142695498893567,5,131.0,False,,
1080.0,9,42.0,0.9333333333333333,4.243671167613972,9,168.0,0.16669704014642672,9,168.0,False,,
1085.0,9,35.0,0.8333333333333334,4.130879509748114,9,179.0,0.17483278960592763,9,179.0,False,,
1090.0,6,21.0,0.5384615384615384,4.065311606725988,6,155.0,0.18116464598540852,6,155.0,False,,
1095.0,5,9.0,0.21951219512195122,4.7910452815923605,5,141.0,0.17586240710959955,5,141.0,False,,
1100.0,9,31.0,0.775,4.347176338577027,9,179.0,0.15836084768202047,9,179.0,False,,
1105.0,8,27.0,0.7297297297297297,3.8797336288060795,8,182.0,0.19238914603614285,8,182.0,False,,
1110.0,6,17.0,0.4473684210526316,4.094412709446781,6,152.0,0.18194452024047952,6,152.0,False,,
1115.0,6,13.0,0.325,3.7086053082649615,6,172.0,0.15040614156020424,6,172.0,False,,
1120.0,9,46.0,1.1794871794871795,3.1361123180217825,9,214.0,0.13554731954235233,9,214.0,False,,
1125.0,9,39.0,1.054054054054054,3.323206792639476,9,217.0,0.15240346804510732,9,217.0,False,,
1130.0,6,17.0,0.425,3.941753531396791,6,168.0,0.18458995081871715,6,168.0,False,,
1135.0,6,10.0,0.25,4.471330582174385,6,172.0,0.15941826369321022,6,172.0,False,,
1140.0,10,34.0,0.85,4.086931188418998,10,212.0,0.1696846308765433,10,212.0,False,,
1145.0,8,31.0,0.8157894736842105,3.610782553485556,8,217.0,0.18531287888399425,8,217.0,False,,
1150.0,6,17.0,0.425,4.378307533529691,6,172.0,0.20023994692172808,6,172.0,False,,
1155.0,6,13.0,0.3170731707317073,3.498867684361712,6,194.0,0.12686792404048472,6,194.0,False,,
1160.0,8,38.0,0.926829268292683,3.517154708202848,8,229.0,0.08344929881817952,8,229.0,False,,
1165.0,9,35.0,0.8974358974358975,3.929409857045417,9,226.0,0.15949356662715164,9,226.0,False,,
1170.0,4,11.0,0.2894736842105263,4.500194050995968,4,171.0,0.20830772659439317,4,171.0,False,,
1175.0,6,8.0,0.1951219512195122,5.398283505269101,6,160.0,0.22906737730639856,6,160.0,False,,
1180.0,9,24.0,0.6153846153846154,4.136787342742368,9,190.0,0.16659291611908833,9,190.0,False,,
1185.0,7,23.0,0.6571428571428571,3.4878324407371273,7,190.0,0.19094399532114045,7,190.0,False,,
1190.0,6,14.0,0.358974358974359,4.730598870117175,6,150.0,0.238110708080484,6,150.0,False,,
1195.0,4,7.0,0.17073170731707318,4.74969912725059,4,145.0,0.1834236279897087,4,145.0,False,,
1200.0,9,35.0,0.8536585365853658,4.223698924166768,9,179.0,0.14487080753329906,9,179.0,False,,
1205.0,8,33.0,0.868421052631579,3.869200238274413,8,180.0,0.1750252278411127,8,180.0,False,,
1210.0,4,11.0,0.28205128205128205,4.552703126572804,4,135.0,0.1857106539997673,4,135.0,False,,
1215.0,5,7.0,0.1794871794871795,4.4821959398028275,5,134.0,0.14630335971673517,5,134.0,False,,
1220.0,9,28.0,0.7567567567567568,3.173120422165028,9,165.0,0.14383568923951523,9,165.0,False,,
